Артикул;27-February-2023;28-February-2023;01-March-2023;02-March-2023;03-March-2023;06-March-2023;07-March-2023;09-March-2023;10-March-2023;13-March-2023;14-March-2023;15-March-2023;16-March-2023;17-March-2023;20-March-2023;21-March-2023;22-March-2023;23-March-2023;28-March-2023;29-March-2023;30-March-2023;31-March-2023;03-April-2023;04-April-2023;05-April-2023;06-April-2023;07-April-2023;10-April-2023;12-April-2023;13-April-2023;14-April-2023;17-April-2023;18-April-2023;19-April-2023;20-April-2023;21-April-2023;24-April-2023;25-April-2023;26-April-2023;27-April-2023;28-April-2023;02-May-2023;03-May-2023;04-May-2023;05-May-2023;10-May-2023;11-May-2023;12-May-2023;15-May-2023;16-May-2023;17-May-2023;18-May-2023;19-May-2023;22-May-2023;23-May-2023;24-May-2023;25-May-2023;26-May-2023;29-May-2023;30-May-2023;31-May-2023;01-June-2023;02-June-2023;05-June-2023;06-June-2023;07-June-2023;08-June-2023;09-June-2023;13-June-2023;14-June-2023;15-June-2023;16-June-2023;19-June-2023;20-June-2023;21-June-2023;22-June-2023;23-June-2023;26-June-2023;27-June-2023;28-June-2023;29-June-2023;30-June-2023;03-July-2023;04-July-2023;05-July-2023;06-July-2023;07-July-2023;10-July-2023;11-July-2023;12-July-2023;13-July-2023;14-July-2023;17-July-2023;18-July-2023;19-July-2023;20-July-2023;21-July-2023;24-July-2023;25-July-2023;26-July-2023;27-July-2023;28-July-2023;31-July-2023;01-August-2023;02-August-2023;03-August-2023;04-August-2023;05-August-2023;07-August-2023;08-August-2023;09-August-2023;10-August-2023;11-August-2023;14-August-2023;15-August-2023;16-August-2023;17-August-2023;18-August-2023;21-August-2023;22-August-2023;23-August-2023;24-August-2023;25-August-2023;28-August-2023;29-August-2023;30-August-2023;31-August-2023;01-September-2023;04-September-2023;05-September-2023;06-September-2023;07-September-2023;08-September-2023;11-September-2023;12-September-2023;13-September-2023;14-September-2023;15-September-2023;18-September-2023;19-September-2023;20-September-2023;21-September-2023;22-September-2023;25-September-2023;26-September-2023;27-September-2023;28-September-2023;29-September-2023;03-October-2023;04-October-2023;05-October-2023;06-October-2023;09-October-2023;10-October-2023;11-October-2023;12-October-2023;13-October-2023;16-October-2023;17-October-2023;18-October-2023;19-October-2023;20-October-2023;23-October-2023;24-October-2023;25-October-2023;26-October-2023;27-October-2023;30-October-2023;31-October-2023;01-November-2023;02-November-2023;03-November-2023;07-November-2023;08-November-2023;09-November-2023;10-November-2023;13-November-2023;14-November-2023;15-November-2023;16-November-2023;17-November-2023;20-November-2023;21-November-2023;22-November-2023;23-November-2023;24-November-2023;27-November-2023;28-November-2023;29-November-2023;30-November-2023;01-December-2023;04-December-2023;05-December-2023;06-December-2023;07-December-2023;08-December-2023;11-December-2023;12-December-2023;Название;13-December-2023;14-December-2023;15-December-2023;18-December-2023;19-December-2023;20-December-2023;21-December-2023;22-December-2023;25-December-2023;26-December-2023;27-December-2023;28-December-2023;29-December-2023;02-January-2024;07-January-2024;09-January-2024;10-January-2024;11-January-2024;12-January-2024;15-January-2024;16-January-2024;17-January-2024;18-January-2024;19-January-2024;22-January-2024;23-January-2024;24-January-2024;25-January-2024;26-January-2024;29-January-2024;30-January-2024;31-January-2024;01-February-2024;02-February-2024;05-February-2024;06-February-2024;07-February-2024;08-February-2024;09-February-2024;12-February-2024;13-February-2024;14-February-2024;15-February-2024;16-February-2024;19-February-2024;20-February-2024;21-February-2024;22-February-2024;26-February-2024;27-February-2024;28-February-2024;29-February-2024;01-March-2024;04-March-2024;05-March-2024;06-March-2024;07-March-2024;11-March-2024;12-March-2024;13-March-2024;14-March-2024;15-March-2024;18-March-2024;19-March-2024;20-March-2024;21-March-2024;22-March-2024;25-March-2024;26-March-2024;27-March-2024;28-March-2024;29-March-2024;01-April-2024;02-April-2024;03-April-2024;04-April-2024;05-April-2024;08-April-2024;09-April-2024
30406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Чехол для AirPods Pro без карабина, лимонный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Чехол для Apple AirPods (3‑го поколения) без карабина карабином, белый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Чехол для AirPods Pro без карабина, белый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30501;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Чехол для Apple AirPods (3‑го поколения) без карабина карабином, розовый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Чехол для Apple AirPods (3‑го поколения) без карабина карабином, фиалка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30506;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Чехол для Apple AirPods (3‑го поколения) без карабина карабином, черный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;10.0;10.0;10.0;10.0;10.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;Чехол для Apple AirPods (3‑го поколения) без карабина карабином, лимонный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;5.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;2.0;10.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;8.0;8.0;8.0;8.0;7.0;7.0;7.0;7.0;6.0;6.0;6.0;6.0;6.0;6.0;6.0;5.0;5.0;5.0;5.0;4.0;4.0;4.0;4.0;10.0;10.0;;;;;;;;;;;;;;;;;;;;;;;;;Чехол для Apple AirPods (3‑го поколения) без карабина карабином, ярко розовый;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.0;12.0;13.0;12.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;11.0;10.0;9.0;8.0;8.0;7.0;6.0;5.0;5.0;4.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;
30505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Чехол для Apple AirPods (3‑го поколения) без карабина карабином, голубой;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;10.0;10.0;10.0;10.0;10.0;;10.0;10.0;10.0;10.0;10.0;9.0;9.0;9.0;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Чехол для Apple AirPods (3‑го поколения) без карабина карабином, красный;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.0;19.0;19.0;19.0;19.0;19.0;19.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.0;38.0;38.0;38.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;76.0;76.0;Подушка для путешествий синяя;76.0;76.0;77.0;76.0;75.0;835.0;640.0;640.0;655.0;655.0;655.0;655.0;394.0;314.0;493.0;413.0;413.0;413.0;413.0;412.0;391.0;385.0;359.0;352.0;348.0;328.0;318.0;318.0;318.0;218.0;197.0;197.0;153.0;153.0;153.0;153.0;253.0;253.0;252.0;252.0;240.0;240.0;240.0;240.0;226.0;226.0;226.0;332.0;345.0;340.0;342.0;184.0;405.0;404.0;420.0;407.0;407.0;222.0;222.0;228.0;232.0;232.0;232.0;234.0;238.0;238.0;81.0;165.0;162.0;162.0;162.0;162.0;162.0;161.0;161.0;161.0;160.0;163.0;159.0
29201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60.0;1.0;;;;;;;;38.0;38.0;38.0;38.0;78.0;78.0;77.0;77.0;77.0;77.0;77.0;77.0;77.0;77.0;77.0;77.0;77.0;Подушка для путешествий серая;77.0;77.0;77.0;76.0;76.0;1075.0;900.0;300.0;325.0;325.0;324.0;324.0;584.0;543.0;622.0;562.0;562.0;521.0;519.0;499.0;479.0;479.0;479.0;475.0;474.0;452.0;422.0;421.0;421.0;221.0;143.0;143.0;123.0;123.0;122.0;122.0;321.0;321.0;321.0;321.0;318.0;313.0;313.0;313.0;311.0;291.0;290.0;290.0;289.0;269.0;269.0;80.0;369.0;368.0;388.0;381.0;381.0;111.0;110.0;109.0;103.0;103.0;103.0;102.0;101.0;101.0;45.0;172.0;172.0;172.0;165.0;164.0;164.0;164.0;164.0;164.0;164.0;163.0;158.0
30101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.0;135.0;126.0;124.0;115.0;114.0;111.0;104.0;103.0;101.0;101.0;99.0;98.0;98.0;98.0;97.0;97.0;94.0;91.0;91.0;90.0;90.0;85.0;82.0;Помпа для воды;82.0;81.0;82.0;80.0;79.0;79.0;;;79.0;79.0;79.0;79.0;78.0;78.0;78.0;78.0;78.0;78.0;78.0;76.0;75.0;75.0;75.0;75.0;75.0;75.0;75.0;74.0;74.0;74.0;9.0;9.0;9.0;9.0;8.0;8.0;8.0;8.0;8.0;8.0;14.0;13.0;13.0;13.0;13.0;13.0;12.0;12.0;12.0;13.0;13.0;13.0;13.0;13.0;36.0;35.0;35.0;34.0;34.0;34.0;28.0;28.0;28.0;28.0;28.0;28.0;7.0;8.0;8.0;7.0;7.0;7.0;8.0;8.0;7.0;6.0;146.0;41.0;39.0
29101;;;;;;;;;;;;;;;;;;;15.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;50.0;37.0;;;;;;;;;;;19.0;18.0;14.0;4.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.0;99.0;98.0;100.0;99.0;98.0;6376.0;6371.0;6362.0;5421.0;5414.0;5402.0;5402.0;5402.0;5402.0;5402.0;5402.0;5402.0;2808.0;2806.0;1802.0;1541.0;1533.0;1781.0;1775.0;1771.0;1754.0;1749.0;Щеточка для очищения лица, голубая;1747.0;1740.0;1489.0;1418.0;1414.0;1410.0;1406.0;903.0;890.0;887.0;887.0;881.0;1379.0;1361.0;1330.0;1319.0;1312.0;1203.0;1196.0;1023.0;844.0;839.0;785.0;778.0;770.0;767.0;691.0;688.0;684.0;173.0;157.0;155.0;126.0;122.0;112.0;109.0;105.0;100.0;99.0;91.0;89.0;86.0;379.0;377.0;192.0;109.0;81.0;59.0;41.0;23.0;17.0;4.0;4.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;
29100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;5266.0;5258.0;5253.0;4783.0;4781.0;5272.0;5269.0;5264.0;5260.0;5250.0;5250.0;5250.0;2964.0;2709.0;1703.0;1595.0;1591.0;1583.0;1578.0;1575.0;1556.0;1553.0;Щеточка для очищения лица, розовая;1548.0;1545.0;1542.0;1522.0;1518.0;1515.0;1063.0;560.0;998.0;995.0;992.0;989.0;1486.0;1478.0;1447.0;1439.0;1433.0;1424.0;1417.0;1285.0;1252.0;1243.0;1238.0;1234.0;1215.0;1206.0;1137.0;1131.0;1126.0;606.0;234.0;232.0;205.0;203.0;198.0;195.0;194.0;192.0;159.0;153.0;151.0;147.0;446.0;444.0;304.0;177.0;169.0;147.0;135.0;116.0;103.0;32.0;30.0;23.0;98.0;98.0;50.0;39.0;35.0;32.0;13.0;12.0;11.0;9.0;8.0;8.0;3.0;1.0;1.0;1.0;;;;;;;;;
28400;;;;48.0;48.0;40.0;38.0;38.0;36.0;33.0;33.0;32.0;31.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;49.0;49.0;49.0;45.0;10.0;10.0;8.0;60.0;56.0;53.0;49.0;49.0;47.0;45.0;45.0;45.0;45.0;44.0;44.0;14.0;14.0;12.0;9.0;9.0;9.0;9.0;8.0;8.0;8.0;Терка для педикюра;;;;;;;;;;;;;;;499.0;498.0;497.0;445.0;446.0;395.0;319.0;319.0;269.0;269.0;266.0;240.0;205.0;204.0;203.0;200.0;508.0;508.0;407.0;382.0;378.0;378.0;376.0;376.0;374.0;370.0;323.0;313.0;311.0;311.0;287.0;253.0;251.0;249.0;240.0;219.0;218.0;113.0;102.0;99.0;99.0;98.0;98.0;95.0;95.0;94.0;43.0;43.0;42.0;40.0;40.0;40.0;7.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
28500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.0;;;;;;;;9.0;;;;;;50.0;49.0;49.0;46.0;46.0;46.0;46.0;46.0;44.0;44.0;43.0;43.0;43.0;43.0;;;;;;;;;;;;;;27.0;27.0;24.0;22.0;20.0;19.0;18.0;15.0;10.0;10.0;5.0;2.0;2.0;;;;;Формы для наращивания ногтей;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.0;13.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;11.0;11.0;11.0;11.0;11.0;10.0;9.0;9.0;9.0;7.0;7.0;7.0;7.0;6.0;4.0;4.0;3.0;;;;;;;;;;;;;;;;;;;;;;;
27900;;;;;;;;;;;;;;;;;;;;;;;;9.0;9.0;8.0;8.0;6.0;5.0;3.0;3.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.0;19.0;19.0;19.0;19.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.0;50.0;50.0;50.0;50.0;50.0;50.0;50.0;49.0;49.0;49.0;49.0;49.0;10.0;90.0;210.0;259.0;257.0;254.0;251.0;247.0;240.0;240.0;240.0;240.0;440.0;438.0;438.0;397.0;397.0;395.0;395.0;395.0;397.0;397.0;395.0;394.0;393.0;Мадлер для коктейлей;392.0;391.0;391.0;390.0;389.0;389.0;;;383.0;383.0;380.0;377.0;377.0;373.0;369.0;366.0;365.0;364.0;364.0;360.0;360.0;360.0;360.0;356.0;349.0;346.0;340.0;338.0;336.0;330.0;;;;;;;;;;;11.0;9.0;;;;;;;;;;1.0;1.0;1.0;94.0;88.0;56.0;51.0;50.0;35.0;28.0;15.0;15.0;15.0;15.0;15.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;2.0;4.0;2.0;5.0;2.0
28700;;;;;;;;;;;;;;;;;10.0;10.0;9.0;9.0;9.0;9.0;5.0;5.0;5.0;5.0;5.0;3.0;10.0;7.0;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100.0;100.0;100.0;99.0;99.0;99.0;98.0;98.0;97.0;97.0;97.0;97.0;94.0;90.0;90.0;90.0;1329.0;1322.0;1308.0;1299.0;1289.0;917.0;915.0;914.0;913.0;1004.0;904.0;904.0;196.0;69.0;48.0;8.0;1.0;;;8.0;;;Соковыжималка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.0;9.0;9.0;9.0;6.0;5.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Бесконтактный термометр;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100.0;100.0;99.0;99.0;98.0;;;;;;;;;;;;;;;;;;;;;;;;;;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;60.0;110.0;110.0;110.0;506.0;459.0;453.0;360.0;357.0;362.0;358.0;354.0;354.0;361.0;356.0;356.0;171.0;110.0;110.0;100.0;100.0;100.0;99.0;99.0;71.0;71.0;Диск балансировочный, бирюзовый;71.0;71.0;70.0;54.0;54.0;53.0;48.0;48.0;52.0;52.0;51.0;51.0;51.0;51.0;50.0;49.0;49.0;48.0;49.0;48.0;28.0;28.0;28.0;27.0;27.0;26.0;21.0;21.0;21.0;19.0;22.0;22.0;22.0;22.0;22.0;21.0;21.0;21.0;21.0;20.0;20.0;20.0;20.0;20.0;23.0;23.0;22.0;22.0;22.0;22.0;21.0;8.0;8.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;2.0;2.0;2.0;2.0;129.0;66.0;66.0;129.0;129.0;129.0;128.0;128.0
20501;;;;;;;;;;;;;;;;;;;;;;;;20.0;17.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.0;50.0;50.0;50.0;;;15.0;71.0;49.0;56.0;58.0;1.0;;;;;;;;12.0;11.0;6.0;5.0;5.0;4.0;4.0;4.0;4.0;3.0;3.0;3.0;2.0;2.0;2.0;;;Массажер для шеи и плеч;;;;;;;;;;;;500.0;50.0;;110.0;197.0;197.0;167.0;166.0;86.0;46.0;46.0;24.0;24.0;24.0;23.0;13.0;13.0;12.0;12.0;25.0;25.0;24.0;23.0;77.0;77.0;58.0;62.0;42.0;42.0;44.0;45.0;44.0;47.0;35.0;34.0;34.0;33.0;35.0;40.0;41.0;34.0;34.0;34.0;184.0;182.0;188.0;63.0;53.0;47.0;26.0;26.0;19.0;13.0;13.0;13.0;4.0;49.0;48.0;47.0;47.0;47.0;112.0;112.0;112.0;112.0;112.0;112.0;112.0
28600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1088.0;1087.0;1080.0;958.0;958.0;957.0;956.0;966.0;966.0;966.0;499.0;424.0;423.0;356.0;355.0;364.0;364.0;362.0;360.0;361.0;Валик большой массажный, синий;360.0;360.0;337.0;306.0;305.0;305.0;181.0;181.0;275.0;275.0;275.0;275.0;275.0;274.0;272.0;856.0;606.0;604.0;604.0;603.0;553.0;553.0;551.0;550.0;549.0;523.0;488.0;488.0;488.0;487.0;417.0;417.0;417.0;417.0;166.0;166.0;166.0;166.0;165.0;164.0;110.0;110.0;110.0;109.0;687.0;672.0;672.0;671.0;760.0;765.0;764.0;418.0;417.0;415.0;452.0;452.0;452.0;442.0;441.0;442.0;420.0;420.0;360.0;372.0;372.0;372.0;105.0;108.0;109.0;109.0;137.0;139.0;140.0;140.0;142.0;143.0;143.0;145.0;145.0
28601;;;;;;;;;100.0;100.0;100.0;100.0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.0;65.0;63.0;61.0;976.0;964.0;942.0;696.0;696.0;696.0;696.0;723.0;718.0;718.0;557.0;454.0;451.0;368.0;367.0;384.0;383.0;383.0;347.0;346.0;Валик большой массажный, фиолетовый;344.0;344.0;315.0;305.0;305.0;305.0;54.0;53.0;259.0;259.0;259.0;258.0;257.0;253.0;243.0;745.0;743.0;740.0;738.0;654.0;576.0;574.0;573.0;566.0;564.0;537.0;498.0;493.0;487.0;377.0;179.0;178.0;175.0;150.0;148.0;147.0;140.0;115.0;113.0;110.0;108.0;107.0;197.0;196.0;391.0;389.0;387.0;386.0;560.0;547.0;547.0;378.0;377.0;375.0;437.0;437.0;434.0;431.0;431.0;416.0;410.0;409.0;408.0;405.0;404.0;404.0;110.0;110.0;110.0;110.0;109.0;109.0;108.0;104.0;31.0;31.0;31.0;31.0;106.0
28800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80.0;80.0;80.0;1295.0;1295.0;1286.0;1099.0;1097.0;1150.0;1150.0;1149.0;1148.0;1167.0;1165.0;1164.0;408.0;354.0;352.0;325.0;323.0;320.0;314.0;310.0;250.0;247.0;Ролик для пресса синий;244.0;244.0;241.0;235.0;233.0;233.0;165.0;164.0;226.0;224.0;223.0;222.0;122.0;123.0;216.0;1164.0;663.0;662.0;663.0;609.0;565.0;564.0;563.0;562.0;559.0;538.0;495.0;493.0;492.0;488.0;516.0;530.0;489.0;469.0;437.0;434.0;410.0;390.0;177.0;282.0;325.0;337.0;337.0;336.0;352.0;289.0;287.0;286.0;279.0;269.0;267.0;83.0;86.0;85.0;101.0;101.0;101.0;101.0;101.0;100.0;82.0;82.0;28.0;27.0;26.0;26.0;8.0;7.0;7.0;7.0;33.0;33.0;26.0;23.0;20.0;20.0;19.0;18.0;18.0
