Предмет;Процент комиссии;Стоимость логистики;Стоимость хранения
Альбомы для творчества;15;114.0;0.26
Грунты художественные;15;96.0;0.11
Магнитный винил;15;96.0;0.11
Клей;15;96.0;0.17
Маркеры;15;96.0;0.11
Разделители страниц;15;114.0;0.26
Записные книжки;15;96.0;0.11
Листы для коллекционирования;15;114.0;0.17
Наборы для каллиграфии;15;114.0;0.17
Туши для рисования;15;114.0;0.17
Линейки;15;96.0;0.17
Стержни для ручек;15;79.0;0.06
Лаки художественные;15;96.0;0.11
Пломбировочные ленты;15;96.0;0.11
Бланки;15;96.0;0.11
Циркули;15;96.0;0.11
Пломбы;15;96.0;0.11
Калькуляторы;15;96.0;0.11
Ластики;15;96.0;0.17
Ленты для печатных машинок;15;114.0;0.17
Журналы учета;15;96.0;0.11
Палитры;15;96.0;0.17
Чернила;15;79.0;0.06
Модули;15;114.0;0.17
Почтовые марки;15;79.0;0.06
Подставки для книг;15;114.0;0.17
Букинистические комплекты;15;96.0;0.11
Книги коллекционные;15;96.0;0.11
Учебники;15;96.0;0.11
Иностранные книги;15;96.0;0.11
Атласы географические;15;96.0;0.11
Блокноты творческие;15;96.0;0.11
Карты географические;15;592.0;0.7
Словари;15;96.0;0.11
Книги-комиксы;15;96.0;0.11
Медиа на USB-накопителе;15;96.0;0.11
Раскраски;15;96.0;0.17
Журналы;15;96.0;0.11
Календари;15;96.0;0.11
Букинистические книги;15;96.0;0.11
Аудиокниги CD;15;96.0;0.11
Ноты;15;96.0;0.11
Интеллект-карты;15;96.0;0.11
Правовые акты;15;96.0;0.17
Книжная продукция и диски;10;96.0;0.11
Книги родословные;15;96.0;0.11
Обучающие диски;15;96.0;0.11
Наборы карточек;15;96.0;0.11
Карты Таро;15;96.0;0.11
Цветовые веера;15;96.0;0.11
Проекты домов;15;96.0;0.17
Музыкальные диски;15;96.0;0.11
Книги;15;96.0;0.11
Маски гидрогелевые;17;96.0;0.11
Ароматизаторы для бани;17;96.0;0.11
Массажеры косметические;17;473.0;0.47
Восковые полоски;17;96.0;0.11
Шампуни;17;96.0;0.11
Лезвия для педикюра;17;79.0;0.09
Кейсы для косметики;17;473.0;0.47
Лаки для волос;17;96.0;0.11
Растворы солевые;17;79.0;0.06
Основы для пилок;17;79.0;0.06
Мыло косметическое;17;96.0;0.11
Бамперы для парикмахерских ножниц;17;96.0;0.11
Настои для бани;17;96.0;0.11
Маски альгинатные;17;96.0;0.11
Палочки для наращивания ресниц;17;79.0;0.09
Аксессуары для клея;17;79.0;0.09
Средства для заживления татуировок;17;79.0;0.06
Присыпки;17;96.0;0.11
Загустители для волос;17;96.0;0.11
Клей для наращивания волос;17;96.0;0.11
Убтаны;17;96.0;0.11
Селективный парфюм;17;96.0;0.11
Гигиенические помады;17;79.0;0.09
Сменные пакеты для туалета;17;96.0;0.11
Гели для моделирования ногтей;17;79.0;0.06
Тату машинки;17;114.0;0.17
Ванночки для ног;17;592.0;0.7
Гидрофильные плитки;17;79.0;0.06
Лаки для укрепления и роста ногтей;17;96.0;0.11
Носки косметические;17;96.0;0.11
Ватные палочки;17;96.0;0.17
Скребки для языка;17;79.0;0.09
Косметические активы;17;96.0;0.11
Муссы;17;96.0;0.11
Флаконы косметические;17;96.0;0.17
Бомбочки для ванны;17;96.0;0.11
Отбеливающие полоски для зубов;17;96.0;0.11
Аксессуары для окрашивания волос;17;96.0;0.11
Жидкости для снятия лака;17;96.0;0.17
Закрепители для лака;17;79.0;0.09
Воротники для мойки;17;96.0;0.11
Ресницы для наращивания;17;96.0;0.11
Закрепители для ресниц;17;79.0;0.06
Маски микроигольные;17;96.0;0.11
Держатели для флаконов лака;17;96.0;0.11
Нейтрализаторы испарений клея;17;79.0;0.06
Твердые шампуни;17;96.0;0.11
Пенки;17;96.0;0.11
Тележки парикмахерские;17;473.0;0.47
Подкладки под глаза;17;114.0;0.26
Иглы для тату;17;96.0;0.11
Праймеры для ресниц;17;96.0;0.11
Средства для снятия накладных ресниц;17;96.0;0.11
Основы под лаки;17;79.0;0.06
Кремы для бани;17;96.0;0.11
Скрабы;17;96.0;0.11
Тинты для губ;17;79.0;0.09
Кисти для дизайна ногтей;17;114.0;0.26
Растворы для разведения хны;17;96.0;0.17
Автозагар;17;96.0;0.11
Зеркала косметические;17;96.0;0.11
Пемзы;17;96.0;0.17
Зажимы для ресниц;17;79.0;0.09
Пеньюары парикмахерские;17;96.0;0.11
Одеколон;17;96.0;0.11
Ножницы маникюрные;17;96.0;0.11
Кусачки педикюрные;17;79.0;0.06
Менструальные чаши;17;96.0;0.11
Эфирные масла;17;96.0;0.11
Разделители для пальцев;17;96.0;0.17
Временные татуировки;17;96.0;0.17
Глиттеры;17;79.0;0.06
Наборы для наращивания ресниц;17;96.0;0.11
Патчи;17;79.0;0.06
Хайлайтеры;17;96.0;0.11
Зубные порошки;17;96.0;0.17
Духи;17;79.0;0.06
Искусственная кожа для практики;17;96.0;0.11
Краски для волос;17;96.0;0.11
Подставки для рук маникюрные;17;473.0;0.47
Ватные диски;17;96.0;0.11
Пушеры маникюрные;17;79.0;0.09
Наборы декоративной косметики;17;96.0;0.11
Футляры для зубных щеток;17;96.0;0.17
Ополаскиватели для рта;17;96.0;0.11
Чехлы для косметики;17;96.0;0.11
Таблетки для ирригаторов;17;96.0;0.11
Манекены для наращивания ресниц;17;114.0;0.17
Бритвы опасные;17;96.0;0.11
Осветлители для волос;17;96.0;0.11
CC-кремы;17;79.0;0.06
Подставки для парикмахерских инструментов;17;96.0;0.11
Основы под макияж;17;96.0;0.17
Расчески;17;96.0;0.11
Грязь косметическая;17;79.0;0.06
Блоки полировочные;17;79.0;0.09
Флюиды;17;96.0;0.11
Бронзеры;17;79.0;0.06
Маски тканевые косметические;17;96.0;0.11
Тени;17;79.0;0.06
Держатели для накладных ногтей;17;96.0;0.11
Туалетная вода;17;79.0;0.06
Дезодоранты;17;79.0;0.06
Помады для волос;17;96.0;0.11
Педали для тату машинки;17;114.0;0.17
Гель-краски для ногтей;17;79.0;0.06
Средства для разбавления лака;17;96.0;0.17
Смесители для парикмахерских моек;17;79.0;0.06
Масла;17;79.0;0.06
Держатели для тату машинки;17;114.0;0.17
Полоски для век;17;79.0;0.09
Маски косметические;17;96.0;0.11
Водоросли косметические;17;96.0;0.11
Терки для ног;17;79.0;0.06
Соль для ванн;17;96.0;0.11
Палочки для маникюра;17;79.0;0.09
Сборы для ванн;17;96.0;0.11
Гели для бритья;17;96.0;0.11
Блоттеры для парфюмерии;17;96.0;0.11
Кератолитики;17;79.0;0.06
Средства для снятия макияжа;17;96.0;0.11
Пламперы для губ;17;96.0;0.17
Станки для педикюра;17;96.0;0.11
Грилзы;17;96.0;0.11
Микробраши;17;79.0;0.09
Кинезио тейпы косметические;17;114.0;0.17
Стулья парикмахерские;17;2231.0;1.12
Уход за парикмахерскими инструментами;17;114.0;0.17
Бритвы безопасные;17;96.0;0.11
Мицеллярная вода;17;96.0;0.11
Повязки косметические;17;96.0;0.17
Колпачки для ногтей;17;96.0;0.11
Помазки для бритья;17;96.0;0.11
Оттеночные бальзамы;17;79.0;0.06
Пена для ванны;17;96.0;0.11
Лед косметический;17;96.0;0.11
Картриджи для тату машинки;17;114.0;0.17
Скотч для наращивания волос;17;96.0;0.11
Фиксаторы макияжа;17;96.0;0.11
Прокладки гигиенические;17;96.0;0.11
Блески;17;79.0;0.09
Пинцеты для наращивания ресниц;17;79.0;0.06
Лаки для ногтей;17;79.0;0.09
Защита для клип-кордов;17;114.0;0.17
Щипцы для наращивания волос;17;96.0;0.11
Эликсиры;17;79.0;0.06
Кремы;17;79.0;0.06
Лосьоны;17;96.0;0.11
Кисти-сметки парикмахерские;17;96.0;0.11
Накладные ресницы;17;79.0;0.06
Футляры для помад;17;79.0;0.06
Кусачки маникюрные;17;96.0;0.11
Запарки;17;96.0;0.17
Салфетки косметические;17;79.0;0.09
Аппликаторы;17;96.0;0.17
Смывка краски для волос;17;96.0;0.11
Трансферная бумага для тату;17;96.0;0.11
Пакеты для стерилизации инструментов;17;96.0;0.11
Воск для депиляции;17;96.0;0.11
Манекены для татуажа;17;114.0;0.26
Средства для удаления кутикулы;17;79.0;0.06
Бигуди;17;96.0;0.11
Очищающие полоски;17;79.0;0.09
Муляжи для маникюра;17;96.0;0.11
Маски оттеночные;17;96.0;0.11
Браслеты парикмахерские;17;96.0;0.11
Пигменты;17;79.0;0.06
Колпачки для пигментов;17;114.0;0.26
Клей для накладных ресниц;17;79.0;0.06
Стикини;17;96.0;0.17
Квасцовые камни;17;96.0;0.11
Отбеливающие карандаши для зубов;17;96.0;0.11
Пленка для обертывания;17;79.0;0.06
Скотч для наращивания ресниц;17;96.0;0.17
Эссенции;17;96.0;0.11
Тональные кремы;17;79.0;0.06
Наборы в роддом;17;473.0;0.47
Накладные ногти;17;79.0;0.06
Щетки косметические;17;96.0;0.11
Вода косметическая;17;114.0;0.17
Кушоны;17;96.0;0.17
Клей для ламинирования ресниц;17;96.0;0.11
Вакуумные банки;17;96.0;0.11
Ножницы парикмахерские;17;96.0;0.11
Сушки для лака;17;79.0;0.06
Трафареты для макияжа;17;96.0;0.17
Парфюмерная вода;17;96.0;0.11
Шаблоны для моделирования ногтей;17;96.0;0.17
Валики для ресниц;17;79.0;0.06
Очки для солярия;17;79.0;0.06
Насадки для зубных щеток;17;96.0;0.11
Клей для наращивания ресниц;17;96.0;0.11
Гель-лаки;17;79.0;0.06
Красота;12;96.0;0.11
Пластыри косметические;17;96.0;0.11
Точилки косметические;17;79.0;0.09
Пилинг;17;96.0;0.11
Блоки питания для тату машинки;17;114.0;0.17
Жидкое мыло;17;96.0;0.11
Краски для бровей и ресниц;17;114.0;0.17
BB-кремы;17;79.0;0.06
Инструменты для депиляции;17;96.0;0.11
Гидрофильные масла;17;79.0;0.06
Зубные нити;17;79.0;0.09
Шампуни сухие;17;96.0;0.11
Смеси для массажа;17;79.0;0.06
Шампуни для париков;17;96.0;0.11
Парфюмерные наборы;17;96.0;0.11
Зубные пасты;17;96.0;0.11
Экстракты для купания;17;96.0;0.11
Таблетки для индикации зубного налета;17;96.0;0.11
Косметические наборы для ухода;17;96.0;0.11
Обезжириватели для ресниц;17;96.0;0.11
Соль для маникюра и педикюра;17;79.0;0.09
Пены для бритья;17;96.0;0.11
Кисти косметические;17;96.0;0.11
Корректоры;17;79.0;0.06
Наборы для приготовления масок;17;96.0;0.11
Туши;17;79.0;0.06
Патчи для наращивания ресниц;17;79.0;0.06
Праймеры для тела;17;96.0;0.11
Влажные салфетки;17;79.0;0.06
Шаберы маникюрные;17;96.0;0.11
Пистолеты для пирсинга;17;96.0;0.11
Шкалы для контроля отбеливания зубов;17;96.0;0.11
Чаши для бритья;17;96.0;0.11
Иглы для пирсинга;17;96.0;0.17
Инструменты для чистки лица;17;96.0;0.11
Парафин косметический;17;96.0;0.11
Акриловые пудры;17;96.0;0.11
Бандажи косметические;17;96.0;0.11
Спреи;17;96.0;0.11
Пинцеты;17;96.0;0.17
Планшеты для наращивания ресниц;17;96.0;0.11
Шампуни для бани;17;96.0;0.11
Обезжириватели для ногтей;17;79.0;0.06
Помады;17;79.0;0.06
Растворы для ирригатора;17;96.0;0.11
Перчатки косметические;17;96.0;0.11
Тоники;17;96.0;0.11
Клипперы маникюрные;17;79.0;0.09
Праймеры для ногтей;17;79.0;0.09
Средства для химической завивки;17;96.0;0.11
Ремуверы для удаления татуажа;17;114.0;0.17
Уход за зубными протезами;17;96.0;0.11
Палетки косметические сменные;17;79.0;0.06
Пасты для шугаринга;17;96.0;0.11
Оксиданты;17;96.0;0.11
Наконечники для тату;17;96.0;0.11
Гели;17;96.0;0.11
Мелки для волос;17;96.0;0.11
Фольга для маникюра;17;96.0;0.11
Косметические карандаши;17;79.0;0.09
Бальзамы после бритья;17;96.0;0.11
Манекены для парикмахеров;17;96.0;0.11
Пульверизаторы парикмахерские;17;96.0;0.11
Палитры для смешивания косметики;17;96.0;0.17
Педикюрные наборы;17;96.0;0.11
Шиммер для ванн;17;96.0;0.17
Наборы для солярия;17;96.0;0.11
Ножи для удаления кутикулы;17;96.0;0.17
DD-кремы;17;79.0;0.06
Румяна;17;96.0;0.11
Воск для бровей;17;96.0;0.11
Воски для волос;17;96.0;0.11
Краски для тату;17;96.0;0.11
Инструменты для бровей;17;79.0;0.09
Хна для волос;17;96.0;0.11
Бальзамы;17;96.0;0.11
Инструменты для чистки ушей;17;96.0;0.17
Клей для ногтей;17;79.0;0.09
Шапочки косметические;17;96.0;0.17
Сыворотки;17;96.0;0.11
Магниты для маникюра;17;79.0;0.09
Органайзеры для косметики;17;96.0;0.11
Стекловолокно для наращивания ногтей;17;96.0;0.17
Прокладки от пота;17;96.0;0.11
Маникюрные наборы;17;96.0;0.11
Футляры для тампонов и прокладок;17;114.0;0.17
Волосы для наращивания;17;96.0;0.11
Активаторы клея для ресниц;17;96.0;0.11
Ролерболы;17;96.0;0.11
Средства для очистки спонжей и кистей;17;96.0;0.11
Тампоны гигиенические;17;96.0;0.11
Густое мыло;17;96.0;0.11
Спонжи;17;79.0;0.09
Сменные файлы для пилок;17;96.0;0.11
Провода для тату машинки;17;114.0;0.17
Палитры для лаков;17;96.0;0.17
Воски для ногтей;17;79.0;0.09
Декор для маникюра;17;79.0;0.09
Ванночки для маникюра;17;96.0;0.11
Отдушки косметические;17;96.0;0.11
Лэшбоксы;17;96.0;0.11
Чехлы для парикмахерских инструментов;17;96.0;0.11
Молочко;17;96.0;0.11
Пудры;17;96.0;0.11
Межзубные ершики;17;79.0;0.06
Клей для временных татуировок;17;96.0;0.11
Дозаторы косметические;17;96.0;0.11
Пилки для ногтей;17;79.0;0.06
Мочалки;17;96.0;0.17
Удалитель накладных ресниц;17;96.0;0.11
Зубные щетки;17;96.0;0.11
Средства для роста бровей;17;96.0;0.11
Бритвенные наборы;17;96.0;0.11
Атомайзеры;17;79.0;0.09
Жидкие подводки;17;79.0;0.09
Кассеты для бритв;17;96.0;0.11
Пакеты для педикюрных ванн;17;96.0;0.11
Жидкости для снятия нарощенных волос;17;96.0;0.17
Очистители воска;17;96.0;0.11
Держатели зубной нити;17;79.0;0.09
Кондиционеры для волос;17;96.0;0.11
Бинты для обертывания;17;79.0;0.09
Эмульсии;17;96.0;0.11
Прокладки для груди;17;96.0;0.11
Термальная вода;17;96.0;0.11
Фартуки парикмахерские;17;79.0;0.06
Закрепители для гель-лака;17;79.0;0.06
Флоссеры;17;79.0;0.09
Полоски для депиляции;17;96.0;0.17
Органайзеры для инструментов;17;96.0;0.11
Основы под гель-лаки;17;79.0;0.06
Гели для бровей;17;96.0;0.17
Точилки для бритвенных лезвий;17;96.0;0.11
Косметика для ванн;17;96.0;0.11
Гидролаты;17;96.0;0.11
Мыло для бани;17;96.0;0.11
Глина косметическая;17;79.0;0.06
Мезороллеры;17;96.0;0.11
Сплит-системы;10;775.0;1.12
Плиты с духовкой;10;775.0;1.12
Запчасти для вытяжек;10;775.0;1.12
Паровые шкафы для одежды;10;4725.0;1.12
Духовые шкафы;10;1969.0;1.12
Запчасти для сушильных машин;10;775.0;1.12
Сушильные машины;10;775.0;1.12
Вытяжки кухонные;10;985.0;1.12
Крупная бытовая техника;5;516.0;1.12
Машины посудомоечные;10;2494.0;1.12
Холодильные витрины;10;775.0;1.12
Стиральные машины;10;2494.0;1.12
Стиральные машины активаторного типа;10;1103.0;1.12
Морозильные лари;10;775.0;1.12
Холодильники;10;6038.0;1.12
Кондиционеры воздуха;10;985.0;1.12
Винные шкафы;10;985.0;1.12
Морозильные камеры;10;775.0;1.12
Варочные панели;10;775.0;1.12
Сундуки;17;775.0;1.12
Перегородки офисные;17;473.0;0.47
Столы журнальные плетеные;17;775.0;1.12
Матрасы детские;17;473.0;0.47
Столешницы для кухни;17;592.0;0.7
Столы;17;775.0;1.12
Кресла руководителя;17;2888.0;1.12
Матрасы-топперы;17;1260.0;1.12
Полки детские;17;473.0;0.47
Тумбы;17;775.0;1.12
Столы-трансформеры;17;985.0;1.12
Домкраты для мебели;17;473.0;0.47
Другие полки для дома;17;592.0;0.7
Стулья офисные;17;775.0;1.12
Газлифты для офисных кресел;17;114.0;0.17
Кресла-глайдеры;17;592.0;0.7
Трибуны офисные;17;775.0;1.12
Полки мебельные;17;592.0;0.7
Стулья плетеные;17;775.0;1.12
Тумбы офисные;17;775.0;1.12
Зеркала для спальни;17;473.0;0.47
Кресла-мешки;17;775.0;1.12
Кресла плетеные;17;2231.0;1.12
Подставки для ног;17;473.0;0.47
Комоды детские;17;775.0;1.12
Шкафы распашные;17;1706.0;1.12
Столы журнальные;17;775.0;1.12
Шкафы;17;1706.0;1.12
Ширмы;17;775.0;1.12
Шкафы-кровати;17;1706.0;1.12
Модульные гостиные;17;775.0;1.12
Настилы кроватные;17;592.0;0.7
Кушетки;17;473.0;0.47
Фиксаторы мебельных чехлов;17;114.0;0.26
Диваны плетеные;17;3938.0;1.12
Чехлы для мебели;17;473.0;0.47
Комоды;17;775.0;1.12
Основания для кроватей;17;473.0;0.47
Доски гладильные встроенные;17;473.0;0.47
Кровати детские;17;1444.0;1.12
Секции с зеркалом;17;473.0;0.47
Тумбы под ТВ;17;775.0;1.12
Столы плетеные;17;775.0;1.12
Мебель;12;315.0;0.47
Кресла оператора;17;2888.0;1.12
Подставки для рук компьютерные;17;79.0;0.06
Тумбы прикроватные;17;775.0;1.12
Стулья детские;17;775.0;1.12
Раскладушки;17;775.0;1.12
Табуреты плетеные;17;775.0;1.12
Вешалки напольные;17;473.0;0.47
Защитные наклейки для мебели;17;79.0;0.06
Обеденные группы;17;3938.0;1.12
Пуфы;17;592.0;0.7
Шкафы детские;17;1706.0;1.12
Полки для телевизора;17;473.0;0.47
Диваны детские;17;1103.0;1.12
Модули для тумбы;17;775.0;1.12
Кресла парикмахерские;17;2231.0;1.12
Тумбы детские;17;775.0;1.12
Кресла компьютерные;17;2888.0;1.12
Комплекты мебели в прихожую;17;473.0;0.47
Столы детские;17;775.0;1.12
Столики винные;17;473.0;0.47
Софы;17;473.0;0.47
Шкафы поворотные;17;1706.0;1.12
Шкафы-купе;17;1706.0;1.12
Стулья;17;775.0;1.12
Комплекты мебели для спальни;17;473.0;0.47
Уголки кухонные;17;473.0;0.47
Ламели для кровати;17;473.0;0.47
Диваны бескаркасные;17;473.0;0.47
Вешалки настенные;17;473.0;0.47
Наборы мебели для детей;17;775.0;1.12
Кресла;17;2231.0;1.12
Матрасы;17;1260.0;1.12
Комоды плетеные;17;775.0;1.12
Стенки для гостиной;17;775.0;1.12
Банкетки;17;1103.0;1.12
Диваны;17;3938.0;1.12
Диваны для кухни;17;3938.0;1.12
Столики туалетные;17;775.0;1.12
Табуреты;17;775.0;1.12
Обеденные группы плетеные;17;3938.0;1.12
Парты детские;17;775.0;1.12
Обувницы;17;775.0;1.12
Кресла игровые;17;2888.0;1.12
Кресла-качалки;17;592.0;0.7
Табуреты детские;17;473.0;0.47
Зеркала для прихожей;17;473.0;0.47
Стеллажи;17;775.0;1.12
Наматрасники детские;17;592.0;0.7
Наполнители для кресла-мешка;17;592.0;0.7
Стеллажи офисные;17;775.0;1.12
Мебельный гарнитур;17;592.0;0.7
Стеллажи детские;17;1444.0;1.12
Тумбы для прихожей;17;775.0;1.12
Шкафные группы;17;1706.0;1.12
Столы обеденные;17;775.0;1.12
Кресла-кровати;17;592.0;0.7
Столы-книжки;17;775.0;1.12
Наматрасники;17;592.0;0.7
Кровати;17;592.0;0.7
Модули кухонные;17;775.0;1.12
Опоры мебельные;17;592.0;0.7
Накладки-протекторы для мебели;17;79.0;0.06
Пуфы бескаркасные;17;592.0;0.7
Столы офисные;17;775.0;1.12
Шкафы для спальни;17;1706.0;1.12
Кресла-трансформеры;17;775.0;1.12
Кресла детские;17;1103.0;1.12
Подкладки для мебели;17;79.0;0.09
Двери для шкафа;17;592.0;0.7
Гарнитуры кухонные;17;775.0;1.12
Стойки ресепшн;17;592.0;0.7
Корпуса для жестких дисков;17;96.0;0.11
Подсветка для ноутбука;17;79.0;0.06
Термопасты;17;114.0;0.17
ЦК Игры;17;0.0;0.0
Моноблоки;10;775.0;1.12
Прочие аксессуары для ноутбуков;20;114.0;0.17
Ноутбуки и компьютеры;5;114.0;0.17
ЦК Программное обеспечение;17;0.0;0.0
Внешние SSD накопители;10;96.0;0.11
Блоки питания;17;473.0;0.47
Ноутбуки;10;473.0;0.47
Охлаждение процессора;17;96.0;0.11
Аккумуляторы для ноутбуков;17;96.0;0.11
Корпуса для компьютеров;17;775.0;1.12
Системы охлаждения компьютеров;17;114.0;0.17
Программное обеспечение;17;114.0;0.17
Видеокарты;10;96.0;0.11
Охлаждение корпуса;17;96.0;0.11
Видеочипы;20;114.0;0.17
Жесткие диски;10;114.0;0.17
Компьютеры;10;775.0;1.12
Модули памяти;10;96.0;0.11
SSD-накопители;10;79.0;0.06
Подставки для ноутбуков;17;473.0;0.47
Другие запчасти для компьютеров;20;114.0;0.17
Процессоры;10;114.0;0.17
Блоки питания для ноутбуков;17;96.0;0.11
Картридеры;17;96.0;0.11
Салазки для накопителей;17;114.0;0.17
Материнские платы;10;473.0;0.47
Босоножки;23;114.0;0.17
Ботинки;23;114.0;0.17
Кеды;23;114.0;0.17
Туфли;23;114.0;0.17
Сноубутсы;23;114.0;0.17
Дутики;23;473.0;0.47
Слиперы;23;114.0;0.17
Полусапожки;23;114.0;0.17
Сандалии;23;114.0;0.17
Лоферы;23;114.0;0.17
Луноходы;23;473.0;0.47
Сапоги;23;473.0;0.47
Ботильоны;23;114.0;0.17
Мюли;23;114.0;0.17
Ботфорты;23;114.0;0.17
Слипоны;23;114.0;0.17
Обувь;18;114.0;0.17
Угги;23;114.0;0.17
Тапочки;23;114.0;0.17
Полуботинки;23;114.0;0.17
Мокасины;23;114.0;0.17
Сникеры;23;114.0;0.17
Пантолеты;23;114.0;0.17
Сабо;23;114.0;0.17
Валенки;23;473.0;0.47
Шлепанцы;23;114.0;0.17
Галоши;23;473.0;0.47
Эспадрильи;23;114.0;0.17
Резиновые сапоги;23;473.0;0.47
Балетки;23;114.0;0.17
Кроссовки;23;114.0;0.17
Топсайдеры;23;114.0;0.17
Унты;23;473.0;0.47
Толстовки;23;96.0;0.11
Пуловеры;23;114.0;0.17
Пеньюары;23;114.0;0.17
Капри;23;79.0;0.06
Халаты банные;23;473.0;0.47
Футболки;23;96.0;0.11
Леггинсы;23;96.0;0.11
Футболки 18+;23;114.0;0.17
Карнавальные костюмы;23;114.0;0.17
Дафлкоты;23;114.0;0.17
Халаты домашние;23;114.0;0.17
Блейзеры;23;114.0;0.17
Бриджи;23;96.0;0.11
Шорты;23;96.0;0.11
Косухи;23;114.0;0.17
Лонгсливы;23;96.0;0.11
Костюмы;23;592.0;0.7
Крестильные рубашки;23;114.0;0.17
Жакеты;23;96.0;0.11
Кейпы;23;114.0;0.17
Брюки пижамные;23;114.0;0.17
Джемперы;23;114.0;0.17
Шубы натуральные;23;592.0;0.7
Твинсеты;23;114.0;0.17
Ветровки;23;114.0;0.17
Джинсы;23;96.0;0.11
Кигуруми;23;114.0;0.17
Брюки;23;96.0;0.11
Пижамы;23;96.0;0.11
Кюлоты;23;96.0;0.11
Сарафаны;23;96.0;0.11
Плащи;23;592.0;0.7
Рубашки пижамные;23;114.0;0.17
Платья;23;96.0;0.11
Юбки;23;96.0;0.11
Свитеры;23;114.0;0.17
Блузки;23;96.0;0.11
Худи;23;114.0;0.17
Крестильные комплекты;23;114.0;0.17
Пончо;23;114.0;0.17
Футболки пижамные;23;96.0;0.11
Куртки;23;114.0;0.17
Полукомбинезоны;23;114.0;0.17
Блузки-боди;23;96.0;0.11
Тренчкоты;23;592.0;0.7
Шубы чебурашки;23;592.0;0.7
Бомберы;23;114.0;0.17
Свитшоты;23;114.0;0.17
Анораки;23;114.0;0.17
Накидки;23;114.0;0.17
Пальто;23;592.0;0.7
Жилеты;23;592.0;0.7
Парки;23;592.0;0.7
Фартуки детские;23;96.0;0.11
Водолазки;23;96.0;0.11
Ночные сорочки;23;96.0;0.11
Велосипедки;23;96.0;0.11
Шорты пижамные;23;114.0;0.17
Топы пижамные;23;114.0;0.17
Дождевики;23;114.0;0.17
Джеггинсы;23;114.0;0.17
Шубы искусственные;23;592.0;0.7
Одежда;18;114.0;0.17
Бермуды;23;114.0;0.17
Кардиганы;23;114.0;0.17
Крестильные платья;23;114.0;0.17
Болеро;23;96.0;0.11
Туники;23;96.0;0.11
Комбинезоны;23;114.0;0.17
Пуховики;23;592.0;0.7
Пиджаки;23;114.0;0.17
Кофты;23;114.0;0.17
Топы;23;96.0;0.11
Рубашки;23;96.0;0.11
Килты;23;114.0;0.17
Полупальто;23;114.0;0.17
Килты банные;23;114.0;0.17
Футболки-поло;23;96.0;0.11
Дубленки;23;592.0;0.7
Мантии;23;114.0;0.17
Майки спортивные для малышей;20;96.0;0.11
Жилеты для малышей;20;96.0;0.11
Песочники;20;96.0;0.11
Шорты для малышей;20;96.0;0.11
Комплекты нательные для малышей;20;96.0;0.11
Свитеры для малышей;20;96.0;0.11
Кофты для малышей;20;96.0;0.11
Плащи для малышей;20;96.0;0.11
Твинсеты для малышей;20;114.0;0.17
Джеггинсы для малышей;20;96.0;0.11
Дубленки для малышей;20;114.0;0.17
Топы для малышей;20;96.0;0.11
Велосипедки для малышей;20;114.0;0.17
Футболки для малышей;20;96.0;0.11
Бриджи для малышей;20;96.0;0.11
Сарафаны для малышей;20;96.0;0.11
Костюмы для малышей;20;96.0;0.11
Анораки для малышей;20;114.0;0.17
Джинсы для малышей;20;96.0;0.11
Водолазки для малышей;20;96.0;0.11
Крестильные рубашки для малышей;20;96.0;0.11
Пончо для малышей;20;96.0;0.11
Кардиганы для малышей;20;96.0;0.11
Юбки для малышей;20;96.0;0.11
Пуховики для малышей;20;96.0;0.11
Крестильные комплекты для малышей;20;96.0;0.11
Свитшоты для малышей;20;96.0;0.11
Леггинсы для малышей;20;96.0;0.11
Дождевики для малышей;20;96.0;0.11
Пальто для малышей;20;96.0;0.11
Рубашки для малышей;20;96.0;0.11
Крестильные платья для малышей;20;96.0;0.11
Кигуруми для малышей;20;96.0;0.11
Платья для малышей;20;96.0;0.11
Парки для малышей;20;96.0;0.11
Распашонки;20;79.0;0.06
Полупальто для малышей;20;96.0;0.11
Пижамы для малышей;20;96.0;0.11
Бермуды для малышей;20;96.0;0.17
Пуловеры для малышей;20;96.0;0.11
Лонгсливы для малышей;20;96.0;0.11
Комбинезоны для малышей;20;114.0;0.17
Дафлкоты для малышей;20;114.0;0.17
Крестильные брюки для малышей;20;96.0;0.17
Капри для малышей;20;114.0;0.26
Блейзеры для малышей;20;96.0;0.17
Брюки для малышей;20;96.0;0.11
Пиджаки для малышей;20;96.0;0.11
Толстовки для малышей;20;96.0;0.11
Ползунки;20;79.0;0.06
Жакеты для малышей;20;96.0;0.11
Халаты домашние для малышей;20;96.0;0.11
Накидки для малышей;20;114.0;0.17
Кейпы для малышей;20;114.0;0.17
Комбинезоны нательные для малышей;20;96.0;0.11
Худи для малышей;20;96.0;0.11
Кофточки для малышей;20;96.0;0.11
Халаты банные для малышей;20;96.0;0.11
Блузки для малышей;20;96.0;0.11
Ночные сорочки для малышей;20;96.0;0.11
Футболки-поло для малышей;20;96.0;0.11
Кюлоты для малышей;20;114.0;0.17
Одежда для малышей;15;114.0;0.17
Косухи для малышей;20;114.0;0.17
Пинетки;20;96.0;0.11
Конверты для малышей;20;114.0;0.17
Полукомбинезоны для малышей;20;96.0;0.11
Болеро для малышей;20;96.0;0.17
Ветровки для малышей;20;96.0;0.11
Джемперы для малышей;20;96.0;0.11
Тренчкоты для малышей;20;114.0;0.17
Карнавальные костюмы для малышей;20;114.0;0.17
